Symbol,CompanyName,MarketCap,Sector,Industry,DividendYield,Beta
ABM,"ABM Industries, Inc.",$2.5B,Industrials,Commercial Services & Supplies,2.06%,+1.3
ABMC,American Bio Medica Corporation,$4.7M,Health Care,Health Care Equipment & Supplies,--,-1.6
ABMD,"ABIOMED, Inc.",$14.7B,Health Care,Health Care Equipment & Supplies,--,+1.4
ABML,American Battery Metals Corp,$349.0M,Materials,Metals & Mining,--,+1.3
ABMT,Advanced Biomedical Technologies Inc,$8.1M,Health Care,Health Care Equipment & Supplies,--,-0.9
ABQQ,Ab International Group Corp,$1.9M,Information Technology,Software,--,--
ABR,Arbor Realty Trust Inc,$1.7B,Financials,Mortgage Real Estate Investment Trusts (REITs),9.26%,+1.9
ABR-A,Arbor Realty Trust Inc,--,Financials,Mortgage Real Estate Investment Trusts (REITs),8.11%,--
ABR-B,Arbor Realty Trust Inc,--,Financials,Mortgage Real Estate Investment Trusts (REITs),7.64%,--
ABR-C,Arbor Realty Trust Inc,--,Financials,Mortgage Real Estate Investment Trusts (REITs),8.24%,--
ABSSF,AIRBOSS OF AMERICA CORP,$329.1M,Materials,Chemicals,1.82%,+1.1
ABT,Abbott Laboratories,$193.7B,Health Care,Health Care Equipment & Supplies,1.65%,+0.8
ABTI,Alterola Biotech Inc,$105.9M,Consumer Staples,Personal Products,--,--
ABTX,Allegiance Bancshares Inc,$697.5M,Financials,Banks,1.18%,+1.1
ABUS,Arbutus Biopharma Corp,$306.9M,Health Care,Biotechnology,--,+3.1
ABVN,Abv Consulting Inc,$2.5M,Industrials,Professional Services,--,--
ABWN,Airborne Wireless Network,$972.5K,Communication Services,Diversified Telecommunication Services,--,+2.1
AC,Associated Capital Group Inc,$787.4M,Financials,Capital Markets,0.57%,+1.3
ACA,Alda Capital Corp,$2.6B,Industrials,Construction & Engineering,0.37%,--
ACAD,ACADIA Pharmaceuticals Inc.,$8.3B,Health Care,Biotechnology,--,+1.2
ACAI,Safeplus International Holdings Ltd,$8.8M,Health Care,Health Care Equipment & Supplies,--,+0.5
ACAN,Americann Inc,$22.5M,Health Care,Pharmaceuticals,--,+0.8
ACAZF,ACADIAN TIMBER CORP,$207.8M,Materials,Paper & Forest Products,7.30%,+0.9
ACBI,Atlantic Capital Bancshares Inc,$332.9M,Financials,Banks,--,+0.9
ACBM,ACRO Biomedical Co Ltd,$106.5M,Health Care,Health Care Providers & Services,--,--
ACC,"American Campus Communities, Inc.",$5.7B,Real Estate,Equity Real Estate Investment Trusts (REITs),4.58%,+0.9
ACCA,Acacia Diversified Holdings Inc,$1.0M,Health Care,Pharmaceuticals,--,+2.2
ACCO,ACCO Brands Corporation,$794.7M,Industrials,Commercial Services & Supplies,3.14%,+2.3
ACER,Acer Therapeutics Inc,$32.6M,Health Care,Pharmaceuticals,--,+1.6
ACGI,Amacore Group Inc,$628.8K,Health Care,Health Care Providers & Services,--,+3.8
ACGL,Arch Capital Group Ltd.,$14.1B,Financials,Insurance,--,+0.8
ACGX,Alliance Creative Group Inc,$91.5K,Materials,Containers & Packaging,--,+4.0
ACH,Aluminum Corp. of China Limited (ADR),$1.5B,Materials,Metals & Mining,--,+1.7
ACHC,Acadia Healthcare Company Inc,$4.6B,Health Care,Health Care Providers & Services,--,+1.5
ACHV,Achieve Life Sciences Inc,$46.4M,Health Care,Biotechnology,--,+1.5
ACI,Albertsons Companies Inc,$8.1B,Consumer Staples,Food & Staples Retailing,2.34%,--
ACIU,AC Immune SA,$387.4M,Health Care,Biotechnology,--,+0.8
ACIW,ACI Worldwide Inc,$4.4B,Information Technology,Software,--,+1.2
ACLLF,ATCO LTD  -CL I,$2.9B,Utilities,Multi-Utilities,4.78%,+0.8
ACLS,Axcelis Technologies Inc,$983.3M,Information Technology,Semiconductors & Semiconductor Equipment,--,+1.5
ACM,Aecom,$7.5B,Industrials,Construction & Engineering,--,+1.6
ACMR,ACM Research Inc,$1.7B,Information Technology,Semiconductors & Semiconductor Equipment,--,--
ACMT,ACMAT CORP  -CL A,$12.4M,Financials,Insurance,--,-0.1
ACMTA,ACMAT Corporation,$31.0M,Financials,Insurance,--,-0.1
ACN,Accenture Plc,$169.5B,Information Technology,IT Services,1.37%,+1.1
ACNB,ACNB Corporation,$214.4M,Financials,Banks,4.10%,+0.1
ACNI,"American Community Newspapers, Inc.",$34.4K,Communication Services,Media,--,+2.2
ACOR,Acorda Therapeutics Inc,$31.8M,Health Care,Biotechnology,--,+0.7
ACPS,AC Partners Inc,$102.7M,Industrials,Building Products,--,--
ACRB,Asia Carbon Industries Inc,$224.2K,Materials,Chemicals,--,-3.3
ACRE,Ares Commercial Real Estate Corp,$380.2M,Financials,Mortgage Real Estate Investment Trusts (REITs),11.55%,+1.4
ACRS,Aclaris Therapeutics Inc,$283.7M,Health Care,Pharmaceuticals,--,+1.1
ACRX,AcelRx Pharmaceuticals Inc,$128.8M,Health Care,Pharmaceuticals,--,+1.2
ACST,ACASTI PHARMA INC,$47.2M,Health Care,Pharmaceuticals,--,+1.7
ACTG,Acacia Research Corp,$199.5M,Industrials,Professional Services,--,+0.8
ACTL,Artec Global Media Inc,$209.8K,Communication Services,Media,--,-1.5
ACTX,Advanced Container Technologies Inc,$115.3M,Materials,Containers & Packaging,--,+0.4
ACU,Acme United Corporation,$103.9M,Industrials,Commercial Services & Supplies,1.70%,+1.0
ACUR,"Acura Pharmaceuticals, Inc.",$5.0M,Health Care,Pharmaceuticals,--,+0.7
ACUS,"Acusphere, Inc.",$175.8K,Health Care,Pharmaceuticals,--,-0.4
ACWRF,ACCELEWARE LTD,$20.8M,Information Technology,Software,--,+0.5
ACY,AeroCentury Corp.,$15.7M,Industrials,Trading Companies & Distributors,--,+3.4
ADAP,Adaptimmune Therapeutics PLC - ADR,$865.2M,Health Care,Biotechnology,--,+2.2
ADBE,Adobe Inc,$231.5B,Information Technology,Software,--,+1.0
ADBN,Americana Distribution Inc,$134.6K,Communication Services,Media,--,--
ADC,Agree Realty Corporation,$3.7B,Real Estate,Equity Real Estate Investment Trusts (REITs),3.82%,+0.3
ADCT,ADC Therapeutics SA,$2.4B,Health Care,Biotechnology,--,--
ADEC,Alternative Energy Development Corp,$6.7K,Consumer Discretionary,Auto Components,--,--
ADES,Advanced Emissions Solutions Inc,$101.5M,Materials,Chemicals,--,+0.8
ADFJF,ADF GROUP INC,$21.2M,Materials,Metals & Mining,1.29%,+1.3
ADFS,American Defense Systems Inc,$3.7M,Industrials,Aerospace & Defense,--,+0.6
ADGL,AllDigital Holdings Inc,$137.7K,Information Technology,Software,--,--
ADGO,Advantego Corporation,$213.1K,Information Technology,Software,--,+3.5
ADGS,ADGS Advisory Inc,$29.2M,Industrials,Professional Services,--,--
ADHC,American Diversified Holdings Corp,$2.5M,Health Care,Health Care Technology,--,+2.0
ADI,"Analog Devices, Inc.",$54.4B,Information Technology,Semiconductors & Semiconductor Equipment,1.70%,+1.3
ADIL,Adial Pharmaceuticals Inc,$25.5M,Health Care,Pharmaceuticals,--,--
ADLI,"American Medical Technologies, Inc.",$87.3K,Health Care,Health Care Equipment & Supplies,--,-0.6
ADM,Archer-Daniels-Midland Co,$28.2B,Consumer Staples,Food Products,2.89%,+0.9
ADMA,ADMA Biologics Inc,$203.3M,Health Care,Biotechnology,--,+1.7
ADMP,Adamis Pharmaceuticals Corp,$55.8M,Health Care,Pharmaceuticals,--,+1.6
ADMS,Adamas Pharmaceuticals Inc,$129.2M,Health Care,Biotechnology,--,+2.8
ADMT,"ADM Tronics Unlimited, Inc.",$6.8M,Materials,Chemicals,--,-0.2
ADNT,Adient PLC,$3.3B,Consumer Discretionary,Auto Components,--,+3.3
ADOM,Adomani Inc,$28.5M,Consumer Discretionary,Auto Components,--,+4.4
ADP,Automatic Data Processing Inc,$72.3B,Information Technology,IT Services,2.20%,+0.7
ADPT,Adaptive Biotechnologies Corp,$7.6B,Health Care,Life Sciences Tools & Services,--,--
ADRNY,Koninklijke Ahold Delhaize NV (ADR),$30.7B,Consumer Staples,Food & Staples Retailing,4.10%,+0.3
ADS,Alliance Data Systems Corporation,$3.6B,Information Technology,IT Services,1.18%,+2.5
ADSK,"Autodesk, Inc.",$65.6B,Information Technology,Software,--,+1.3
ADST,"AdStar, Inc.",$203.9K,Communication Services,Interactive Media & Services,--,--
ADSV,"Allied Security Innovations, Inc.",$699.1K,Industrials,Commercial Services & Supplies,--,+6.1
ADT,ADT Inc,$6.5B,Industrials,Commercial Services & Supplies,1.79%,--
ADTFF,IMETAL RESOURCES INC,$2.2M,Materials,Metals & Mining,--,+1.2
ADTR,Alliance Media Holdings Inc,$618.6K,Consumer Discretionary,Distributors,--,+0.3
ADUS,Addus Homecare Corporation,$1.8B,Health Care,Health Care Providers & Services,--,+0.6
ADVC,Advant-E Corporation,$324.4M,Information Technology,Software,--,-1.2
ADVM,Adverum Biotechnologies Inc,$1.1B,Health Care,Biotechnology,--,+1.5
ADWPF,ANDREW PELLER LTD,$296.2M,Consumer Staples,Beverages,2.02%,+0.8
ADXDF,ADEX MINING INC,$2.3M,Materials,Metals & Mining,--,+1.1
ADXS,"Advaxis, Inc.",$45.6M,Health Care,Biotechnology,--,+3.0
ADYX,Adynxx Inc,$1.7M,Health Care,Biotechnology,--,+2.6
AEE,Ameren Corp,$18.7B,Utilities,Multi-Utilities,2.71%,+0.2
AEEI,"American Environmental Energy, Inc.",$5.0M,Utilities,Independent Power & Renewable Electricity Producers,--,+0.5
AEEX,Asia Equity Exchange Group Inc,$13.1M,Financials,Capital Markets,--,-0.4
AEG,AEGON N.V. (ADR),$8.1B,Financials,Insurance,1.83%,+1.4
AEGN,Aegion Corp,$595.8M,Industrials,Construction & Engineering,--,+1.3
AEHL,Antelope Enterprise Holdings Ltd,$7.8M,Industrials,Building Products,--,+1.3
AEHR,Aehr Test Systems,$56.1M,Information Technology,Semiconductors & Semiconductor Equipment,--,+1.2
AEIS,"Advanced Energy Industries, Inc.",$3.9B,Information Technology,Semiconductors & Semiconductor Equipment,--,+1.8
AEL,American Equity Investment Life Holding,$2.5B,Financials,Insurance,1.20%,+1.4
AEM,Agnico Eagle Mines Ltd (USA),$17.9B,Materials,Metals & Mining,1.86%,+0.8
AEMD,"Aethlon Medical, Inc.",$29.9M,Health Care,Health Care Equipment & Supplies,--,+0.7
AENZ,Aenza SAA (ADR),$404.6M,Industrials,Construction & Engineering,--,+0.8
AEO,American Eagle Outfitters Inc,$3.4B,Consumer Discretionary,Specialty Retail,2.77%,+1.4
AEP,American Electric Power Company Inc,$40.3B,Utilities,Electric Utilities,3.63%,+0.2
AER,AerCap Holdings N.V.,$5.8B,Industrials,Trading Companies & Distributors,--,+2.3
AERG,"Applied Energetics, Inc.",$57.2M,Industrials,Aerospace & Defense,--,+2.4
AERI,Aerie Pharmaceuticals Inc,$610.5M,Health Care,Pharmaceuticals,--,+0.6
AERO,"AeroGrow International, Inc.",$103.0M,Consumer Discretionary,Household Durables,--,+1.5
AES,AES Corp,$15.9B,Utilities,Independent Power & Renewable Electricity Producers,2.59%,+0.9
AEXE,AIM Energy Inc,$437.3K,Materials,Metals & Mining,--,+2.6
AEYE,Audioeye  Inc,$241.9M,Information Technology,Software,--,+2.2
AEZS,AEterna Zentaris Inc. (USA),$31.3M,Health Care,Biotechnology,--,+2.2
AFG,American Financial Group Inc,$7.4B,Financials,Insurance,2.35%,+0.9
AFHIF,Atlas Financial Holdings Inc,$2.2M,Financials,Insurance,--,+3.0
AFI,Armstrong Flooring Inc,$81.5M,Industrials,Building Products,--,+2.8
AFIN,American Finance Trust Inc,$823.4M,Real Estate,Equity Real Estate Investment Trusts (REITs),11.38%,--
AFL,AFLAC Incorporated,$30.5B,Financials,Insurance,3.06%,+1.0
AFLYY,Air France KLM SA (ADR),$2.5B,Industrials,Airlines,--,+1.7
AFMD,Affimed NV,$529.1M,Health Care,Biotechnology,--,+2.5
AFMJF,ALPHAMIN RESOURCES CORP,$410.5M,Materials,Metals & Mining,--,+1.1
AFPW,Alumifuel Power Corp,$1.6M,Materials,Chemicals,--,--
AFTM,Aftermaster Inc,$1.8M,Consumer Discretionary,Leisure Products,--,-1.5
AFYA,Afya Ltd,$2.3B,Consumer Discretionary,Diversified Consumer Services,--,--
AG,FIRST MAJESTIC SILVER CORP,$3.1B,Materials,Metals & Mining,--,+1.3
AGCBF,AMARILLO GOLD CORP,$63.9M,Materials,Metals & Mining,--,+1.6
AGCCF,GENSOURCE POTASH CORP,$63.6M,Materials,Chemicals,--,+1.1
AGCO,AGCO Corporation,$7.9B,Industrials,Machinery,0.62%,+1.3
AGE,AgeX Therapeutics Inc,$61.8M,Health Care,Biotechnology,--,--
AGEN,Agenus Inc,$611.3M,Health Care,Biotechnology,--,+1.7
AGFMF,AGF MANAGEMENT LTD  -CL B,$327.7M,Financials,Capital Markets,5.41%,+2.0
AGFS,AgroFresh Solutions Inc,$118.8M,Materials,Chemicals,--,+1.1
AGGFF,AFRICAN GOLD GROUP INC,$19.0M,Materials,Metals & Mining,--,+2.5
AGHC,Aeon Global Health Corp,$674.2K,Health Care,Health Care Providers & Services,--,+0.8
AGI,ALAMOS GOLD INC,$3.7B,Materials,Metals & Mining,0.83%,+1.2
AGIN,American Graphite Technologies Inc,$3.2M,Materials,Metals & Mining,--,-1.6
AGIO,Agios Pharmaceuticals Inc,$3.1B,Health Care,Biotechnology,--,+1.7
AGLE,Aeglea Bio Therapeutics Inc,$396.0M,Health Care,Biotechnology,--,+1.7
AGM,Federal Agricultural Mortgage Corp.,$702.2M,Financials,Thrifts & Mortgage Finance,4.28%,+1.1
AGM-C,Federal Agricultural Mortgage Corp,--,Financials,Thrifts & Mortgage Finance,5.57%,--
AGM-D,Federal Agricultural Mortgage Corp,--,Financials,Thrifts & Mortgage Finance,5.29%,--
AGM-E,Federal Agricultural Mortgage Corp,--,Financials,Thrifts & Mortgage Finance,5.33%,--
AGM-F,Federal Agricultural Mortgage Corp,--,Financials,Thrifts & Mortgage Finance,4.84%,--
AGMH,AGM Group Holdings Inc,$339.5M,Financials,Capital Markets,--,--
AGMJF,ALGOMA CENTRAL CORP,$414.4M,Industrials,Marine,3.65%,+1.0
AGNC,AGNC Investment Corp,$8.4B,Financials,Mortgage Real Estate Investment Trusts (REITs),9.36%,+1.0
AGO,Assured Guaranty Ltd.,$2.5B,Financials,Insurance,2.60%,+1.1
AGR,Avangrid Inc,$13.7B,Utilities,Electric Utilities,3.92%,+0.2
AGRDF,MINNOVA CORP,$9.9M,Materials,Metals & Mining,--,+0.1
AGRO,Adecoagro SA,$828.4M,Consumer Staples,Food Products,--,+1.2
AGRX,Agile Therapeutics Inc,$246.1M,Health Care,Pharmaceuticals,--,+1.2
AGSO,"AgriSolar Solutions, Inc.",$2.4M,Industrials,Machinery,--,+0.8
AGTC,Applied Genetic Technologies Corp,$112.1M,Health Care,Biotechnology,--,+2.2
AGTK,Argitek Holdings Inc,$419.9K,Consumer Discretionary,Distributors,--,-1.1
AGX,"Argan, Inc.",$695.5M,Industrials,Construction & Engineering,2.26%,+0.6
AGYS,"Agilysys, Inc.",$890.6M,Information Technology,Software,--,+1.4
AHC,A. H. Belo Corp,$33.6M,Communication Services,Media,10.19%,+0.6
AHCO,Adapthealth Corp,$3.0B,Health Care,Health Care Providers & Services,--,--
AHFCF,FLOW CAP CORP COM NEW,$10.0M,Financials,Capital Markets,--,+0.3
AHFD,Active Health Foods Inc,$.5K,Consumer Staples,Food Products,--,--
AHH,Armada Hoffler Properties Inc,$871.1M,Real Estate,Equity Real Estate Investment Trusts (REITs),4.01%,+0.8
AHH-A,Armada Hoffler Properties Inc,--,Real Estate,Equity Real Estate Investment Trusts (REITs),6.66%,--
AHNMF,ARCHON MINERALS LTD,$8.2M,Materials,Metals & Mining,--,-0.4
AHPI,Allied Healthcare Products Inc,$20.7M,Health Care,Health Care Equipment & Supplies,--,-5.4
AHROQ,AtheroNova Inc.,$13.2K,Health Care,Pharmaceuticals,--,-8.9
AHT,"Ashford Hospitality Trust, Inc.",$126.6M,Real Estate,Equity Real Estate Investment Trusts (REITs),--,+2.5
AHT-D,Ashford Hospitality Trust Inc,--,Real Estate,Equity Real Estate Investment Trusts (REITs),--,--
AHT-F,Ashford Hospitality Trust Inc,--,Real Estate,Equity Real Estate Investment Trusts (REITs),--,--
AHT-G,Ashford Hospitality Trust Inc,--,Real Estate,Equity Real Estate Investment Trusts (REITs),--,--
AHT-H,Ashford Hospitality Trust Inc,--,Real Estate,Equity Real Estate Investment Trusts (REITs),--,--
AHT-I,Ashford Hospitality Trust Inc,--,Real Estate,Equity Real Estate Investment Trusts (REITs),--,--
AIDA,"AIDA Pharmaceuticals, Inc.",$573.8K,Health Care,Pharmaceuticals,--,--
AIFM,Aifarm Ltd,$87.0K,Industrials,Machinery,--,--
AIG,American International Group Inc,$32.4B,Financials,Insurance,3.45%,+1.4
AIH,Aesthetic Medical International HldngsGL,$115.0M,Health Care,Health Care Providers & Services,--,--
AIHS,Senmiao Technology Ltd,$47.0M,Financials,Consumer Finance,--,--
AIKI,Aikido Pharma Inc,$29.1M,Industrials,Professional Services,--,+1.9
AILQF,AIRIQ INC,$7.7M,Information Technology,Software,--,+1.1
AIM,AIM ImmunoTech Inc,$77.5M,Health Care,Biotechnology,--,-0.9
AIMC,Altra Industrial Motion Corp,$3.8B,Industrials,Machinery,0.44%,+2.6
AIN,Albany International Corp.,$2.3B,Industrials,Machinery,1.13%,+1.4
AINC,Ashford Inc,$20.8M,Financials,Capital Markets,--,+2.7
AINV,Apollo Investment Corp.,$717.8M,Financials,Capital Markets,11.74%,+2.1
AIR,AAR Corp.,$1.3B,Industrials,Aerospace & Defense,--,+1.8
AIRI,Air Industries Group,$39.4M,Industrials,Aerospace & Defense,--,+1.1
AIRRF,AURION RESOURCES LTD,$71.8M,Materials,Metals & Mining,--,+1.5
AIRT,"Air T, Inc.",$69.6M,Industrials,Air Freight & Logistics,--,+1.4
AIRTP,Air T Funding,--,Industrials,Air Freight & Logistics,7.96%,--
AIT,Applied Industrial Technologies Inc,$3.0B,Industrials,Trading Companies & Distributors,1.67%,+1.5
AITVF,ASIAN TELEVISION NETWRK INTL,$2.3M,Communication Services,Media,--,+0.7
AIV,Apartment Investment and Management Co,$747.3M,Real Estate,Equity Real Estate Investment Trusts (REITs),80.26%,+1.0
AIVN,"American International Ventures, Inc.",$8.3M,Materials,Metals & Mining,--,+2.4
AIXN,AiXin Life International Inc,$300.0M,Consumer Discretionary,Distributors,--,+1.0
AIXXF,AIXTRON SE,$2.0B,Information Technology,Semiconductors & Semiconductor Equipment,--,+0.8
AIZ,"Assurant, Inc.",$7.8B,Financials,Insurance,2.00%,+0.6
AIZP,Assurant Inc,--,Financials,Insurance,5.20%,--
AJG,Arthur J Gallagher & Co,$23.1B,Financials,Insurance,1.50%,+0.7
AJRD,Aerojet Rocketdyne Holdings Inc,$4.0B,Industrials,Aerospace & Defense,--,+0.5
AJX,Great Ajax Corp,$233.6M,Financials,Mortgage Real Estate Investment Trusts (REITs),6.62%,+1.7
AKAM,"Akamai Technologies, Inc.",$17.0B,Information Technology,IT Services,--,+0.4
AKAOQ,Achaogen Inc,$338.6K,Health Care,Biotechnology,--,-1.1
AKAVF,ENVIROTEK REMEDIATION INC,$1.2K,Industrials,Commercial Services & Supplies,--,--
AKBA,Akebia Therapeutics Inc,$422.3M,Health Care,Biotechnology,--,+1.9
AKER,Akers Biosciences Inc,$19.4M,Health Care,Health Care Equipment & Supplies,--,+0.3
AKO.A,EMBOTELLADORA ANDINA SA,$1.1B,Consumer Staples,Beverages,5.82%,+0.5
AKO.B,Embotelladora Andina SA (ADR),$1.2B,Consumer Staples,Beverages,5.27%,+0.5
AKOM,Aerkomm Inc,$114.5M,Communication Services,Wireless Telecommunication Services,--,--
AKR,Acadia Realty Trust,$1.2B,Real Estate,Equity Real Estate Investment Trusts (REITs),--,+1.5
AKRO,Akero Therapeutics Inc,$834.4M,Health Care,Biotechnology,--,--
AKTX,Akari Therapeutics PLC (ADR),$71.9M,Health Care,Pharmaceuticals,--,+1.6
AKZOY,Akzo Nobel NV  (ADR),$21.0B,Materials,Chemicals,2.32%,+1.0
AL,Air Lease Corp,$4.9B,Industrials,Trading Companies & Distributors,1.51%,+2.1
AL-A,Air Lease Corp,--,Industrials,Trading Companies & Distributors,5.78%,--
ALAN,"Alanco Technologies, Inc.",$52.6K,Utilities,Water Utilities,--,+2.4
ALB,Albemarle Corporation,$17.4B,Materials,Chemicals,1.01%,+1.6
ALBO,Albireo Pharma Inc,$693.4M,Health Care,Biotechnology,--,+1.5
ALBY,"Community Capital Bancshares, Inc.",$14.0M,Financials,Banks,--,+0.6
ALCO,"Alico, Inc.",$229.5M,Consumer Staples,Food Products,2.35%,+0.6
ALDX,Aldeyra Therapeutics Inc,$260.9M,Health Care,Biotechnology,--,+1.8
ALE,ALLETE Inc,$3.2B,Utilities,Electric Utilities,4.01%,+0.5
ALEC,Alector Inc,$1.2B,Health Care,Biotechnology,--,--
ALEX,Alexander & Baldwin Inc (Hawaii),$1.2B,Real Estate,Equity Real Estate Investment Trusts (REITs),3.61%,+1.4
ALG,"Alamo Group, Inc.",$1.7B,Industrials,Machinery,0.38%,+1.0
ALGN,"Align Technology, Inc.",$42.2B,Health Care,Health Care Equipment & Supplies,--,+1.7
ALGT,Allegiant Travel Company,$2.9B,Industrials,Airlines,--,+1.7
ALIF,"Artificial Life, Inc.",$1.5M,Information Technology,Software,--,+1.4
ALIM,Alimera Sciences Inc,$22.4M,Health Care,Pharmaceuticals,--,+1.8
ALJJ,"ALJ Regional Holdings, Inc.",$47.4M,Information Technology,IT Services,--,+1.8
ALK,"Alaska Air Group, Inc.",$6.2B,Industrials,Airlines,--,+1.8
ALKM,Alkame Holdings Inc,$3.9M,Consumer Staples,Beverages,--,+3.6
ALKN,Alkane Inc.,$2.8M,Materials,Chemicals,--,+0.0
ALKS,Alkermes Plc,$3.1B,Health Care,Biotechnology,--,+1.0
ALL,Allstate Corp,$32.7B,Financials,Insurance,2.00%,+0.8
ALLE,Allegion PLC,$10.6B,Industrials,Building Products,1.12%,+1.1
ALLK,Allakos Inc,$6.4B,Health Care,Biotechnology,--,--
ALLN,Allin Corporation,$11.1M,Information Technology,IT Services,--,--
ALLO,Allogene Therapeutics Inc,$3.6B,Health Care,Biotechnology,--,--
ALLT,Allot Ltd,$363.7M,Information Technology,Software,--,+0.7
ALLY,Ally Financial Inc,$13.4B,Financials,Consumer Finance,2.15%,+1.5
ALMC,Alimco Financial Corp,$24.8M,Financials,Capital Markets,--,+0.1
ALMTF,ALMONTY INDUSTRIES INC,$96.8M,Materials,Metals & Mining,--,+1.8
ALNA,Allena Pharmaceuticals Inc,$63.1M,Health Care,Biotechnology,--,--
ALNY,"Alnylam Pharmaceuticals, Inc.",$14.6B,Health Care,Biotechnology,--,+1.3
ALP-Q,Alabama Power Co,--,Utilities,Electric Utilities,4.51%,--
ALPE,alpha-En Corporation,$13.5M,Industrials,Electrical Equipment,--,+0.9
ALPN,Alpine Immune Sciences Inc,$326.8M,Health Care,Biotechnology,--,+1.5
ALRM,AlarmCom Hldg Inc,$5.1B,Information Technology,Software,--,+1.2
ALRN,Aileron Therapeutics Inc,$52.5M,Health Care,Biotechnology,--,+3.1
ALRS,Alerus Financial Corp,$455.1M,Financials,Diversified Financial Services,2.26%,+0.8
ALRT,ALR Technologies Inc,$25.7M,Health Care,Health Care Equipment & Supplies,--,+4.3
ALSE,"Alseres Pharmaceuticals, Inc.",$183.8M,Health Care,Biotechnology,--,--
ALSK,Alaska Communications Systems Group Inc,$179.0M,Communication Services,Diversified Telecommunication Services,--,+1.5
ALSN,Allison Transmission Holdings Inc,$4.8B,Industrials,Machinery,1.62%,+1.2
ALT,Altimmune Inc,$420.3M,Health Care,Biotechnology,--,+1.7
ALTA,Altabancorp,$522.9M,Financials,Banks,2.14%,+1.0
ALTR,Altair Engineering Inc,$4.3B,Information Technology,Software,--,--
ALTSF,ALTURAS MINERALS CORP,$2.9M,Materials,Metals & Mining,--,+0.9
ALV,Autoliv Inc.,$8.1B,Consumer Discretionary,Auto Components,--,+1.9
ALVLF,BIG RIDGE GOLD CORP COM,$4.6M,Materials,Metals & Mining,--,+2.7
ALX,"Alexander's, Inc.",$1.4B,Real Estate,Equity Real Estate Investment Trusts (REITs),6.59%,+0.6
